Epoch [1000/150000], train_acc: 0.050868, test_acc: 0.052336
Epoch [2000/150000], train_acc: 0.051791, test_acc: 0.052118
Epoch [3000/150000], train_acc: 0.057847, test_acc: 0.057797
Epoch [4000/150000], train_acc: 0.061910, test_acc: 0.062406
Epoch [5000/150000], train_acc: 0.067021, test_acc: 0.067189
Epoch [6000/150000], train_acc: 0.071128, test_acc: 0.070706
Epoch [7000/150000], train_acc: 0.072187, test_acc: 0.071536
Epoch [8000/150000], train_acc: 0.073034, test_acc: 0.073371
Epoch [9000/150000], train_acc: 0.073749, test_acc: 0.073808
Epoch [10000/150000], train_acc: 0.075000, test_acc: 0.075446
Epoch [11000/150000], train_acc: 0.076665, test_acc: 0.076997
Epoch [12000/150000], train_acc: 0.079685, test_acc: 0.077259
Epoch [13000/150000], train_acc: 0.081465, test_acc: 0.077630
Epoch [14000/150000], train_acc: 0.089935, test_acc: 0.087635
Epoch [15000/150000], train_acc: 0.104456, test_acc: 0.101068
Epoch [16000/150000], train_acc: 0.119194, test_acc: 0.115769
Epoch [17000/150000], train_acc: 0.125059, test_acc: 0.119678
Epoch [18000/150000], train_acc: 0.123230, test_acc: 0.118717
Epoch [19000/150000], train_acc: 0.130580, test_acc: 0.123567
Epoch [20000/150000], train_acc: 0.129215, test_acc: 0.124440
Epoch [21000/150000], train_acc: 0.133846, test_acc: 0.126930
Epoch [22000/150000], train_acc: 0.134583, test_acc: 0.126821
Epoch [23000/150000], train_acc: 0.137259, test_acc: 0.129726
Epoch [24000/150000], train_acc: 0.141267, test_acc: 0.134095
Epoch [25000/150000], train_acc: 0.138903, test_acc: 0.125117
Epoch [26000/150000], train_acc: 0.146794, test_acc: 0.132522
Epoch [27000/150000], train_acc: 0.141846, test_acc: 0.128612
Epoch [28000/150000], train_acc: 0.146843, test_acc: 0.132391
Epoch [29000/150000], train_acc: 0.152812, test_acc: 0.140910
Epoch [30000/150000], train_acc: 0.153429, test_acc: 0.140451
Epoch [31000/150000], train_acc: 0.164547, test_acc: 0.149232
Epoch [32000/150000], train_acc: 0.172673, test_acc: 0.151700
Epoch [33000/150000], train_acc: 0.176828, test_acc: 0.157183
Epoch [34000/150000], train_acc: 0.177091, test_acc: 0.158974
Epoch [35000/150000], train_acc: 0.180788, test_acc: 0.161705
Epoch [36000/150000], train_acc: 0.188706, test_acc: 0.165418
Epoch [37000/150000], train_acc: 0.190623, test_acc: 0.167122
Epoch [38000/150000], train_acc: 0.192305, test_acc: 0.168148
Epoch [39000/150000], train_acc: 0.191485, test_acc: 0.167843
Epoch [40000/150000], train_acc: 0.204193, test_acc: 0.177869
Epoch [41000/150000], train_acc: 0.209534, test_acc: 0.183591
Epoch [42000/150000], train_acc: 0.212925, test_acc: 0.188768
Epoch [43000/150000], train_acc: 0.216043, test_acc: 0.185448
Epoch [44000/150000], train_acc: 0.224436, test_acc: 0.196785
Epoch [45000/150000], train_acc: 0.225982, test_acc: 0.196020
Epoch [46000/150000], train_acc: 0.226517, test_acc: 0.199602
Epoch [47000/150000], train_acc: 0.230640, test_acc: 0.199952
Epoch [48000/150000], train_acc: 0.232611, test_acc: 0.203054
Epoch [49000/150000], train_acc: 0.239557, test_acc: 0.207990
Epoch [50000/150000], train_acc: 0.241780, test_acc: 0.208908
Epoch [51000/150000], train_acc: 0.249791, test_acc: 0.214128
Epoch [52000/150000], train_acc: 0.248562, test_acc: 0.215351
Epoch [53000/150000], train_acc: 0.256382, test_acc: 0.219633
Epoch [54000/150000], train_acc: 0.260484, test_acc: 0.220965
Epoch [55000/150000], train_acc: 0.268506, test_acc: 0.230532
Epoch [56000/150000], train_acc: 0.272426, test_acc: 0.234049
Epoch [57000/150000], train_acc: 0.277166, test_acc: 0.238046
Epoch [58000/150000], train_acc: 0.278373, test_acc: 0.240558
Epoch [59000/150000], train_acc: 0.278570, test_acc: 0.239750
Epoch [60000/150000], train_acc: 0.284135, test_acc: 0.241061
Epoch [61000/150000], train_acc: 0.289180, test_acc: 0.244010
Epoch [62000/150000], train_acc: 0.293866, test_acc: 0.249951
Epoch [63000/150000], train_acc: 0.299081, test_acc: 0.253664
Epoch [64000/150000], train_acc: 0.293194, test_acc: 0.247352
Epoch [65000/150000], train_acc: 0.302052, test_acc: 0.255586
Epoch [66000/150000], train_acc: 0.303024, test_acc: 0.253904
Epoch [67000/150000], train_acc: 0.307207, test_acc: 0.256984
Epoch [68000/150000], train_acc: 0.311706, test_acc: 0.262314
Epoch [69000/150000], train_acc: 0.312739, test_acc: 0.260479
Epoch [70000/150000], train_acc: 0.315393, test_acc: 0.262096
Epoch [71000/150000], train_acc: 0.320466, test_acc: 0.267753
Epoch [72000/150000], train_acc: 0.320029, test_acc: 0.265940
Epoch [73000/150000], train_acc: 0.326112, test_acc: 0.270527
Epoch [74000/150000], train_acc: 0.325626, test_acc: 0.270593
Epoch [75000/150000], train_acc: 0.329209, test_acc: 0.273301
Epoch [76000/150000], train_acc: 0.335068, test_acc: 0.277255
Epoch [77000/150000], train_acc: 0.336029, test_acc: 0.277713
Epoch [78000/150000], train_acc: 0.339016, test_acc: 0.280684
Epoch [79000/150000], train_acc: 0.340174, test_acc: 0.280182
Epoch [80000/150000], train_acc: 0.340458, test_acc: 0.281907
Epoch [81000/150000], train_acc: 0.338918, test_acc: 0.279963
Epoch [82000/150000], train_acc: 0.344903, test_acc: 0.283939
Epoch [83000/150000], train_acc: 0.345853, test_acc: 0.284485
Epoch [84000/150000], train_acc: 0.346165, test_acc: 0.284944
Epoch [85000/150000], train_acc: 0.347344, test_acc: 0.285075
Epoch [86000/150000], train_acc: 0.349386, test_acc: 0.285621
Epoch [87000/150000], train_acc: 0.352232, test_acc: 0.286669
Epoch [88000/150000], train_acc: 0.354656, test_acc: 0.290448
Epoch [89000/150000], train_acc: 0.353176, test_acc: 0.287914
Epoch [90000/150000], train_acc: 0.354137, test_acc: 0.287150
Epoch [91000/150000], train_acc: 0.346689, test_acc: 0.285249
Epoch [92000/150000], train_acc: 0.357758, test_acc: 0.289596
